	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	psc	pss	p00	p10	p01	p11	pnomination
							
txtreatment	0.058**	0.008	-0.017**	-0.041*	0.010	0.049**	-0.000
	(0.015)	(0.011)	(0.005)	(0.017)	(0.010)	(0.013)	(0.026)
t	-0.011	-0.008	0.004**	0.007	0.004	-0.015	0.033***
	(0.014)	(0.009)	(0.001)	(0.016)	(0.008)	(0.012)	(0.003)
female	-0.030	-0.029**	0.013*	0.017	0.016**	-0.046	-0.077***
	(0.027)	(0.009)	(0.005)	(0.025)	(0.006)	(0.025)	(0.009)
height	-0.001	-0.001	0.000	0.001	0.001	-0.002	0.002*
	(0.002)	(0.001)	(0.000)	(0.002)	(0.001)	(0.002)	(0.001)
weight	0.001	-0.000	0.000	-0.001	-0.000	0.001	-0.002**
	(0.001)	(0.000)	(0.000)	(0.001)	(0.000)	(0.001)	(0.001)
14.school	-0.003**	-0.004***	0.004***	-0.000	-0.000	-0.003**	-0.036***
	(0.001)	(0.000)	(0.000)	(0.001)	(0.000)	(0.001)	(0.000)
16.school	0.038***	-0.019***	-0.000	-0.037***	0.019***	0.018***	-0.041***
	(0.001)	(0.001)	(0.001)	(0.001)	(0.000)	(0.002)	(0.001)
21.school	0.120***	0.009	-0.018***	-0.102***	0.009	0.111***	-0.049**
	(0.009)	(0.005)	(0.003)	(0.010)	(0.005)	(0.007)	(0.013)
24.school	-0.058***	0.006	0.002	0.056***	-0.008	-0.050***	-0.026
	(0.006)	(0.006)	(0.002)	(0.008)	(0.005)	(0.006)	(0.013)
26.school	-0.129***	0.046***	-0.031***	0.160***	-0.015**	-0.114***	-0.082***
	(0.008)	(0.005)	(0.003)	(0.009)	(0.005)	(0.006)	(0.013)
Constant	0.651*	1.161***	-0.057	0.406	-0.104	0.755**	0.742***
	(0.286)	(0.111)	(0.066)	(0.264)	(0.081)	(0.276)	(0.117)
							
Observations	2,172	2,172	2,172	2,172	2,172	2,172	2,172
R-squared	0.063	0.022	0.019	0.066	0.024	0.052	0.054
Robust standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
