="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig",="new2_I_ig"
="HighCCEI",="-0.443**",="-0.412**",="",="-0.403**",="-0.419**"
="",="(0.015)",="(0.024)",="",="(0.024)",="(0.022)"
="post",="",="0.031+",="",="0.031+",=""
="",="",="(0.018)",="",="(0.018)",=""
="HighCCEI_post",="",="-0.062+",="",="-0.062+",=""
="",="",="(0.036)",="",="(0.036)",=""
="mathscore_i",="",="",="-0.000",="-0.000",="-0.000"
="",="",="",="(0.000)",="(0.000)",="(0.000)"
="math_diff",="",="",="-0.021**",="-0.012*",="-0.002"
="",="",="",="(0.006)",="(0.005)",="(0.007)"
="height_i",="",="",="-0.000",="-0.000",="0.000"
="",="",="",="(0.000)",="(0.000)",="(.)"
="height_diff",="",="",="-0.001",="-0.000",="0.000"
="",="",="",="(0.001)",="(0.001)",="(.)"
="outgoing_i",="",="",="0.000",="0.000",="0.000"
="",="",="",="(0.000)",="(0.000)",="(.)"
="outgoing_diff",="",="",="-0.003",="-0.003",="0.000"
="",="",="",="(0.009)",="(0.007)",="(.)"
="opened_i",="",="",="-0.001",="-0.000",="0.000"
="",="",="",="(0.001)",="(0.000)",="(.)"
="opened_diff",="",="",="-0.021*",="-0.013",="0.000"
="",="",="",="(0.010)",="(0.008)",="(.)"
="agreeable_i",="",="",="0.001",="0.000",="0.000"
="",="",="",="(0.000)",="(0.000)",="(.)"
="agreeable_diff",="",="",="0.008",="0.007",="0.000"
="",="",="",="(0.013)",="(0.011)",="(.)"
="conscientious_i",="",="",="-0.001",="-0.000",="0.000"
="",="",="",="(0.001)",="(0.000)",="(.)"
="conscientious_diff",="",="",="0.004",="0.005",="0.000"
="",="",="",="(0.010)",="(0.009)",="(.)"
="stable_i",="",="",="-0.000",="0.000",="0.000"
="",="",="",="(0.000)",="(0.000)",="(.)"
="stable_diff",="",="",="-0.007",="-0.004",="0.000"
="",="",="",="(0.009)",="(0.008)",="(.)"
="1.malepair",="",="",="0.000",="0.000",="0.000"
="",="",="",="(.)",="(.)",="(.)"
="2.malepair",="",="",="0.056**",="0.019",="0.000"
="",="",="",="(0.018)",="(0.017)",="(.)"
="3.malepair",="",="",="-0.055**",="-0.019",="0.000"
="",="",="",="(0.018)",="(0.017)",="(.)"
="4.malepair",="",="",="-0.000",="-0.000",="0.000"
="",="",="",="(0.000)",="(0.000)",="(.)"
="inclass_n_friends",="",="",="-0.000",="-0.000",="0.000"
="",="",="",="(0.000)",="(0.000)",="(0.000)"
="inclass_n_diff",="",="",="-0.001",="0.004",="-0.006"
="",="",="",="(0.004)",="(0.003)",="(0.004)"
="inclass_popularity",="",="",="0.000",="0.000",="0.000"
="",="",="",="(0.000)",="(0.000)",="(0.000)"
="inclass_pop_diff",="",="",="0.001",="-0.001",="0.002"
="",="",="",="(0.003)",="(0.002)",="(0.005)"
="0.friendship",="",="",="0.000",="0.000",="0.000"
="",="",="",="(.)",="(.)",="(.)"
="1.friendship",="",="",="-0.000",="-0.000",="0.000"
="",="",="",="(0.000)",="(0.000)",="(0.000)"
="2.friendship",="",="",="0.001",="0.000",="0.000"
="",="",="",="(0.001)",="(0.000)",="(0.000)"
="_cons",="0.722**",="0.706**",="0.508**",="0.705**",="0.711**"
="",="(0.008)",="(0.012)",="(0.006)",="(0.012)",="(0.011)"
="N",="2406",="2406",="2374",="2374",="2200"
="R-squared",="0.379",="0.380",="0.036",="0.389",="0.730"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
